Name;Substance;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023;Y_2024
American Samoa;CO2;0,041440572;0,042388063;0,043262669;0,044055282;0,04477501;0,045449186;0,04603985;0,046598626;0,047225731;0,048092746;0,049283183;0,050856261;0,052746687;0,054905873;0,05722601;0,059584108;0,062007498;0,064456701;0,066881609;0,069229078;0,071423187;0,073453307;0,075302736;0,077013989;0,078658433;0,080275544;0,081886582;0,083423218;0,084880896;0,086200398;0,087340727;0,08833377;0,089178009;0,089764117;0,089987324;0,089765635;0,089055017;0,087920762;0,086595186;0,085375899;0,084480034;0,083998697;0,083862039;0,083978957;0,084176351;0,084328193;0,084422334;0,084486108;0,084543808;0,084616691;0,084726017;0,085031219;0,085031219;0,085031219;0,085031219
Antigua and Barbuda;CO2;102,6852343;102,5996408;124,89433;125,9855937;112,2578576;135,8562133;123,1798963;135,9854109;136,0168822;134,5270379;132,9962936;116,5995558;147,9278476;85,65537596;104,6188424;104,978;110,9880248;146,5577707;158,1892597;162,14088;163,9807549;164,6928305;165,8414254;161,6581628;176,0537531;184,2039301;182,7376833;193,3008856;197,9039794;200,4715665;135,6714446;132,6429559;150,0722364;163,6987064;166,3871661;172,4879639;196,2153788;214,6416754;231,0797092;266,6586176;278,8672917;212,8051776;226,8411645;259,8229265;279,7304409;291,0025463;314,9167039;277,1817376;287,2257546;342,617731;326,018158;331,5392841;343,0106064;344,0945796;356,1873453
Australia;CO2;160693,86;162424,5015;168273,5859;177634,9692;187162,6656;193911,2498;196700,3356;209980,1858;206305,0627;212161,974;222331,3383;223291,3057;229578,8698;218049,7571;223835,3253;237938,1808;238398,0247;249587,2685;258386,0633;274163,9647;277714,9868;279736,8149;283117,7302;287029,114;292387,598;302694,1312;312678,0282;322376,1506;342120,5574;348130,5489;353895,6335;360427,8559;368641,2581;368140,1735;381978,8979;384122,7688;390190,749;400700,9757;404332,3453;410301,2914;415319,5028;412861,9925;413372,8326;405742,3941;396442,3237;400631,5937;408613,2127;411211,3149;409247,568;407908,6057;392545,7821;384734,7475;378065,0896;377495,694;383403,1108
Austria;CO2;53004,52976;55670,32259;57882,9666;61192,63254;58703,95117;56378,80691;61715,15991;59002,19909;60905,02897;63345,04381;61489,76636;58028,49755;55872,89167;55888,51311;57695,59382;59167,34652;57959,01013;58543,54366;57146,69605;57150,0669;61563,95646;65502,48355;60510,77208;60567,19765;61091,84631;64056,88151;67976,28018;67530,05201;68094,42148;66225,71326;66694,61472;71372,2428;73219,36008;78169,28596;79608,73432;80413,74266;78271,71066;75442,11324;75241,53906;68060,21002;73799,84212;72187,16779;69020,73268;69608,83662;65926,19559;67363,21488;67774,54655;70085,08258;67250,77953;68776,68333;62916,15305;66203,36048;62647,18052;58476,12092;58030,40375
Azerbaijan;CO2;24152,91194;24175,70987;25796,48602;27971,12429;30152,33958;32655,33137;33663,09914;34887,40892;36810,15502;38223,8325;40275,43294;41491,6933;42270,74036;43130,27791;43910,38244;44635,295;45509,65271;46481,73558;46375,08554;46507,48468;56124,43515;54834,17999;44901,46672;39385,02093;34512,1445;33880,02671;28401,9623;27420,41326;27377,01867;27392,76747;28794,56492;27717,14025;27486,43937;29775,46007;29501,06161;31219,33475;31939,46922;28920,9486;32230,86371;27982,57096;26636,18296;29469,20569;32281,13214;33211,82287;34724,72081;34522,93342;34415,45009;34226,03665;34762,47194;36981,93494;35406,73813;37424,22429;39683,60895;41745,75898;38887,49862
Burundi;CO2;58,33640167;58,43560375;58,245112;60,04855678;64,22768966;66,49492029;68,7583929;71,06996121;72,27637044;82,25401646;81,17049772;88,37327774;73,73094545;89,80519199;106,41643;106,3864089;111,6279962;162,1729125;229,6824898;243,8553256;200,7785006;284,6647936;223,7121307;248,7999393;257,7165665;253,9069458;272,4466373;270,5159771;286,7391889;299,0351352;292,5019789;235,8256392;222,7278638;185,1039625;219,1201492;184,0468611;230,4231933;372,8178445;220,7414607;222,406299;319,8860947;415,4419862;399,3100571;452,2415381;405,5225747;434,9784261;485,9312196;546,3445899;776,5237316;765,2296975;925,8479367;897,3692556;930,0732972;949,5476455;968,739117
Belgium;CO2;139528,6648;129410,5431;141018,9376;146416,8228;145248,4494;127960,74;137604,8885;135023,0645;139447,6093;148691,012;137790,5523;125881,6663;118139,021;108452,2751;111247,6739;108818,125;109382,3934;109487,2538;111739,916;112814,9117;115815,7447;119734,2627;117615,4998;115699,2397;122030,8743;122306,3707;127307,398;124342,5049;127308,502;122972,2082;124897,6566;125755,5473;118493,0343;123371,2163;121979,1314;119007,8769;116077,2625;112913,6885;114249,7003;107291,8477;114903,1262;104494,8292;103014,2211;104359,5395;97780,12541;102416,5213;101351,586;99769,36558;100458,5018;100313,5114;91927,39605;96021,36277;89676,66949;85730,06319;86646,31628
Benin;CO2;460,4138659;362,525373;462,4721486;477,3560164;489,9276126;549,5748079;366,9110872;428,1375465;455,1060543;510,5634034;536,4563724;446,1590377;517,7559605;510,8983435;524,8178898;617,945908;554,140306;503,4918871;455,9672205;402,2369368;398,5727626;350,4608856;380,7606748;385,4153964;392,0969991;398,5620229;1076,053192;1364,83076;1315,506991;1441,452854;1546,053929;1857,271392;2142,864629;2400,007957;2558,387473;2801,497398;3859,09283;4398,619808;4366,213445;4684,494771;5081,517092;4961,086851;4724,917117;4970,695054;5459,812735;5810,380253;7147,261935;7244,468298;8251,008936;8143,523777;8705,917371;6746,724556;7059,440407;6892,220409;7048,075764
Burkina Faso;CO2;226,6523359;226,9167149;226,0539023;233,5658611;251,4126928;261,0628176;270,4663244;279,7465715;284,4487262;326,6528004;321,0794153;308,2046212;287,5303729;313,8934097;303,9797261;294,0918131;357,9547608;508,0546156;498,5129209;413,115853;327,3139781;462,4730065;394,9920711;414,021868;451,1677564;463,6618887;513,0740195;814,2378098;772,0166146;808,0719671;872,5809115;1020,305314;1082,822592;1206,218482;1069,112046;1138,329881;1149,715091;1634,36868;1900,342606;1842,083989;1962,253693;2217,077381;2581,497751;3040,519376;2753,70596;3936,1169;3931,385582;4540,818511;5411,982974;5699,258705;5701,089461;6437,147208;6488,483299;6263,667146;6475,686531
Bangladesh;CO2;3339,285206;3346,062626;3470,267099;4099,19137;4316,23143;5173,841711;5551,517469;5777,955559;6197,807095;6909,460599;7718,507058;7797,633981;8425,834793;9062,656274;8772,463799;9796,883634;10783,7684;11890,42397;12741,6937;14079,53307;14767,00485;14069,20992;15733,10812;16952,91799;18001,08726;21778,90524;22086,35157;23957,91761;24480,16953;26131,38073;26977,33153;32632,97471;34344,79724;35988,71977;37910,17948;40383,43798;43492,43388;46219,19834;51330,05593;55129,8375;60769,33765;65307,38036;69871,97117;72079,56732;76654,1989;85445,16362;93992,14594;101041,5419;105182,326;109322,2406;104122,8779;117768,2713;120865,651;118989,1023;124190,7327
